,ID,UserID,Operation,Time
0,0.0,ja,login,Sat Nov 23 12:54:48 2019
1,1.0,ja,login,Sat Nov 23 12:56:33 2019
2,2.0,ja,login,Sat Nov 23 13:16:39 2019
3,3.0,0,Predict,Sat Nov 23 13:19:09 2019
4,4.0,0,Get the houses list of User-predicted,Sat Nov 23 13:19:51 2019
5,5.0,0,Delete the prediction data,Sat Nov 23 13:20:56 2019
6,6.0,0,Get user Info,Sat Nov 23 13:25:05 2019
7,7.0,19,Get user Info,Sat Nov 23 13:25:20 2019
8,8.0,9,Get user Info,Sat Nov 23 13:25:48 2019
9,9.0,ja,login,Sat Nov 23 13:32:59 2019
10,10.0,0.0,Update house Info,Sat Nov 23 13:33:19 2019
11,11.0,0,Delete the prediction data,Sat Nov 23 13:34:26 2019
12,12.0,0,Update house Info,Sat Nov 23 13:36:05 2019
13,13.0,1,Get the houses list of User-predicted,Sat Nov 23 13:36:51 2019
14,14.0,0,Delete the prediction data,Sat Nov 23 13:37:24 2019
15,15.0,9,Delete user Info,Sat Nov 23 13:38:00 2019
16,16.0,11,Register,Sat Nov 23 13:46:15 2019
17,17.0,0,Update user Info,Sat Nov 23 13:48:53 2019
18,18.0,0,Get the houses list of User-predicted,Sat Nov 23 14:24:49 2019
19,19.0,12,Register,Sat Nov 23 14:45:25 2019
20,20.0,0,Get the houses list of User-predicted,Sat Nov 23 15:07:38 2019
21,21.0,0.0,login,Sat Nov 23 15:09:05 2019
